ablation,fold,artifact_dir,best_epoch,training_seconds,c_index,cancer_stratified_c_index,ibs,mean_time_dependent_auc,mean_cancer_stratified_time_dependent_auc,integrated_ipcw_ece
no_cancer_conditioning,1,outputs\tcga_architecture_ablations_v1.5.9\no_cancer_conditioning\fold_01,35,14089.578891515732,0.7869776832144872,0.6547324640287769,0.1332721040837704,0.8187182651622817,0.6570624662963133,0.037093830165759026
no_cancer_conditioning,2,outputs\tcga_architecture_ablations_v1.5.9\no_cancer_conditioning\fold_02,65,21706.233504772186,0.7774677865024022,0.6533163191322757,0.13847677803457437,0.810258014392167,0.6820034641455549,0.03540241395883464
no_cancer_conditioning,3,outputs\tcga_architecture_ablations_v1.5.9\no_cancer_conditioning\fold_03,47,17130.19648051262,0.7923609171512992,0.6618547681539807,0.12923054227296502,0.8233057160398816,0.7009965436296479,0.045543271441951416
no_cancer_conditioning,4,outputs\tcga_architecture_ablations_v1.5.9\no_cancer_conditioning\fold_04,40,15470.988191604614,0.7878343630247736,0.6508856776599464,0.13299942311536178,0.815742561010624,0.6895168294170441,0.0364870684825282
no_cancer_conditioning,5,outputs\tcga_architecture_ablations_v1.5.9\no_cancer_conditioning\fold_05,18,9734.02275466919,0.7718419288287376,0.6305069359734475,0.14450408078675567,0.8010782034051425,0.6568819411389576,0.033500998069553665
no_pathway_bias,1,outputs\tcga_architecture_ablations_v1.5.9\no_pathway_bias\fold_01,37,14237.687752485275,0.7856929215751586,0.666957059352518,0.1328733462942721,0.8205082791177248,0.6663864984310991,0.02350353072456424
no_pathway_bias,2,outputs\tcga_architecture_ablations_v1.5.9\no_pathway_bias\fold_02,54,18544.426189899445,0.7858955581014255,0.6652649285113541,0.13546730589575431,0.8177672832176444,0.6963273210265987,0.0466890053061443
no_pathway_bias,3,outputs\tcga_architecture_ablations_v1.5.9\no_pathway_bias\fold_03,37,14260.620791196823,0.794031076036895,0.6640711577719451,0.12730329343815538,0.8278995901140238,0.7038244375627907,0.03572740791411027
no_pathway_bias,4,outputs\tcga_architecture_ablations_v1.5.9\no_pathway_bias\fold_04,40,15149.43393778801,0.7898408463630825,0.6514392261974129,0.13240739920584055,0.8222503935884992,0.6928697199640577,0.03568222390430717
no_pathway_bias,5,outputs\tcga_architecture_ablations_v1.5.9\no_pathway_bias\fold_05,26,11589.61313867569,0.7753795807850095,0.6372585174888655,0.1426646772395364,0.8059307963720124,0.6545288226706224,0.03621085299883
no_reconstruction_objective,1,outputs\tcga_architecture_ablations_v1.5.9\no_reconstruction_objective\fold_01,37,14608.744264364243,0.7798548468595848,0.6487747302158273,0.13696491827388205,0.8116948159363808,0.6928156263154344,0.04242730445305007
no_reconstruction_objective,2,outputs\tcga_architecture_ablations_v1.5.9\no_reconstruction_objective\fold_02,41,18409.070026636124,0.7752858247224301,0.6376845219106174,0.13768652096770276,0.8089654514530654,0.6668992987120913,0.026312363344084228
no_reconstruction_objective,3,outputs\tcga_architecture_ablations_v1.5.9\no_reconstruction_objective\fold_03,32,12594.869327783585,0.7816320969031387,0.6424030329542141,0.13262188449976653,0.8128984722075493,0.6716760540158678,0.037018374192099364
no_reconstruction_objective,4,outputs\tcga_architecture_ablations_v1.5.9\no_reconstruction_objective\fold_04,39,15174.230276107788,0.7722608117601232,0.6270830905488871,0.1394636805463165,0.8034920472701557,0.6544429635044683,0.04432518972690858
no_reconstruction_objective,5,outputs\tcga_architecture_ablations_v1.5.9\no_reconstruction_objective\fold_05,41,15560.565013885498,0.7837354241625294,0.6591302374400726,0.13985588292382872,0.8164447413139105,0.6862304753563616,0.0343705662839061
no_structured_masking,1,outputs\tcga_architecture_ablations_v1.5.9\no_structured_masking\fold_01,16,28334.108741521835,0.7792328590818146,0.6324471672661871,0.13453694338225172,0.8127731104969509,0.6738340275329575,0.028706584553161506
