fold,group_type,group,pattern_name,patients,events,c_index,ibs,mean_time_dependent_auc,cancer_stratified_c_index,within_cancer_comparable_pairs
1,aggregate,complete,complete,1894,532,0.7695242001640689,0.1279299718160338,0.7971804692219215,0.6744135344902764,22934
1,aggregate,incomplete,incomplete,304,182,0.7635463034238094,0.1761644311752576,0.8199341799801751,0.6439698492462311,7960
1,exact_pattern,1000,clinical,19,6,0.8870967741935484,0.1002114390255621,0.901415220550903,0.5,8
1,exact_pattern,1001,clinical + cnv,115,89,0.716793446459918,0.1784921428616528,0.7914780046383609,0.6592409240924092,3636
1,exact_pattern,1011,clinical + mirna + cnv,51,32,0.700228832951945,0.2477236867985829,0.7223988870523588,0.7060367454068242,381
1,exact_pattern,1100,clinical + mrna,4,2,0.5,0.2444137016907658,0.1,0.0,1
1,exact_pattern,1101,clinical + mrna + cnv,75,40,0.7761711972238288,0.1577707340677235,0.8343608764242881,0.6287878787878788,396
1,exact_pattern,1110,clinical + mrna + mirna,40,13,0.7333333333333333,0.1419751354533123,0.7400571021977734,0.4406779661016949,59
1,exact_pattern,1111,clinical + mrna + mirna + cnv,1894,532,0.7695242001640689,0.1279299718160338,0.7971804692219215,0.6744135344902764,22934
2,aggregate,complete,complete,1870,540,0.7677390327803226,0.130429968577207,0.7968868897408234,0.6685776685776685,21978
2,aggregate,incomplete,incomplete,327,181,0.7474876326187735,0.1733526368079404,0.7947708537471507,0.5955072463768116,6900
2,exact_pattern,1000,clinical,23,11,0.8113207547169812,0.1772778462958966,0.8571594729148936,0.7142857142857143,28
2,exact_pattern,1001,clinical + cnv,125,87,0.7001232611375242,0.1840179238629884,0.7493166902120799,0.6212737127371274,2952
2,exact_pattern,1010,clinical + mirna,1,1,,0.4739816271645509,,,0
2,exact_pattern,1011,clinical + mirna + cnv,52,30,0.5882352941176471,0.2564903443560851,0.7243170142777008,0.4521739130434782,460
2,exact_pattern,1100,clinical + mrna,5,3,1.0,0.1347633617373948,1.0,1.0,1
2,exact_pattern,1101,clinical + mrna + cnv,83,41,0.7588145120081757,0.1435036219290783,0.8151843513054763,0.5331325301204819,332
2,exact_pattern,1110,clinical + mrna + mirna,38,8,0.7787610619469026,0.0844890612114711,0.7905364684544548,0.5384615384615384,13
2,exact_pattern,1111,clinical + mrna + mirna + cnv,1870,540,0.7677390327803226,0.130429968577207,0.7968868897408234,0.6685776685776685,21978
3,aggregate,complete,complete,1885,532,0.7841679295094983,0.1278973750295691,0.8124363408107281,0.6780192596519127,22638
3,aggregate,incomplete,incomplete,312,170,0.7974604632849924,0.147875000416526,0.855711252893182,0.6680025649246554,6238
3,exact_pattern,1000,clinical,20,5,0.9240506329113924,0.1020259982419536,0.931230527862194,0.25,4
3,exact_pattern,1001,clinical + cnv,112,83,0.7512507504502701,0.1595037516758076,0.8379854199010712,0.7368421052631579,2603
3,exact_pattern,1010,clinical + mirna,2,2,1.0,0.1756395420034714,1.0,,0
3,exact_pattern,1011,clinical + mirna + cnv,50,24,0.6655948553054662,0.2176127336669143,0.7518541638143681,0.5645161290322581,372
3,exact_pattern,1100,clinical + mrna,6,2,0.8,0.079661494922452,0.9333333333333332,1.0,1
3,exact_pattern,1101,clinical + mrna + cnv,80,42,0.8305954825462012,0.1144750198260155,0.8756940655156572,0.5893333333333334,375
3,exact_pattern,1110,clinical + mrna + mirna,42,12,0.7159533073929961,0.1277184203442374,0.7845283358207364,0.5714285714285714,42
3,exact_pattern,1111,clinical + mrna + mirna + cnv,1885,532,0.7841679295094983,0.1278973750295691,0.8124363408107281,0.6780192596519127,22638
4,aggregate,complete,complete,1867,529,0.7885445306942185,0.1263555025692019,0.821977678788688,0.6605692000557128,21539
4,aggregate,incomplete,incomplete,330,183,0.7448855295624199,0.1686077758448773,0.7858460279676645,0.617621776504298,6980
4,exact_pattern,1000,clinical,23,4,0.8260869565217391,0.1141507977595011,0.8167798072100474,1.0,13
4,exact_pattern,1001,clinical + cnv,117,85,0.665673420738975,0.1745080305437309,0.7367876272148426,0.6081851727608185,2981
4,exact_pattern,1010,clinical + mirna,3,2,1.0,0.2307592835019147,,1.0,1
4,exact_pattern,1011,clinical + mirna + cnv,52,34,0.6280137772675086,0.2564897241817202,0.6460611288508468,0.572289156626506,498
4,exact_pattern,1100,clinical + mrna,1,0,,0.0020909741205698,,,0
4,exact_pattern,1101,clinical + mrna + cnv,73,42,0.7620709714950553,0.1462708198102612,0.8154739373921451,0.662303664921466,382
4,exact_pattern,1110,clinical + mrna + mirna,61,16,0.6405228758169934,0.1293123570245838,0.6867492350031772,0.495049504950495,101
4,exact_pattern,1111,clinical + mrna + mirna + cnv,1867,529,0.7885445306942185,0.1263555025692019,0.821977678788688,0.6605692000557128,21539
5,aggregate,complete,complete,1911,570,0.7688773863686699,0.1382354109419248,0.7977155269149323,0.6543669462057681,24445
5,aggregate,incomplete,incomplete,286,154,0.7675916548511241,0.1519976547051187,0.8163581233108969,0.5869496855345911,6360
5,exact_pattern,1000,clinical,13,2,0.9473684210526316,0.0345411741291628,1.0,0.0,1
5,exact_pattern,1001,clinical + cnv,112,82,0.6592607554029489,0.1688328955327512,0.7059355668736096,0.5955497382198953,3056
5,exact_pattern,1010,clinical + mirna,1,0,,1.991292125704547e-05,,,0
5,exact_pattern,1011,clinical + mirna + cnv,45,26,0.6190476190476191,0.2660590807726047,0.7388913198482745,0.5428571428571428,385
5,exact_pattern,1100,clinical + mrna,3,0,,0.1135081297258726,,,0
5,exact_pattern,1101,clinical + mrna + cnv,70,32,0.8260869565217391,0.0922034252048726,0.869692145274971,0.5800604229607251,331
5,exact_pattern,1110,clinical + mrna + mirna,42,12,0.7830882352941176,0.1272754043121318,0.8143283615241532,0.5952380952380952,42
5,exact_pattern,1111,clinical + mrna + mirna + cnv,1911,570,0.7688773863686699,0.1382354109419248,0.7977155269149323,0.6543669462057681,24445
