contrast,n,mean,sd,ci95_low,ci95_high
complete_minus_incomplete_c_index,5,0.011576299155131763,0.02156533031760193,-0.0152005951096067,0.03835319341987023
complete_minus_incomplete_cancer_stratified_c_index,5,0.04477909727895026,0.026125510548267946,0.012339991396473272,0.07721820316142725
incomplete_minus_complete_ibs,5,0.03342985400315668,0.015450746671454728,0.014245218115844702,0.05261448989046866
complete_minus_incomplete_mean_time_dependent_auc,5,-0.009284706484395144,0.030070503388990876,-0.04662216795036939,0.028052754981579102
