ablation,fold,metric,primary,ablation_value,degradation_positive_is_worse
no_cancer_conditioning,1,c_index,0.7850380783410034,0.7869776832144872,-0.00193960487348388
no_cancer_conditioning,2,c_index,0.7777968656052099,0.7774677865024022,0.00032907910280766117
no_cancer_conditioning,3,c_index,0.7963570860759408,0.7923609171512992,0.003996168924641608
no_cancer_conditioning,4,c_index,0.7891350258967305,0.7878343630247736,0.001300662871956848
no_cancer_conditioning,5,c_index,0.7795952288048082,0.7718419288287376,0.00775329997607066
no_cancer_conditioning,1,cancer_stratified_c_index,0.6609993255395683,0.6547324640287769,0.006266861510791366
no_cancer_conditioning,2,cancer_stratified_c_index,0.6454569183028335,0.6533163191322757,-0.007859400829442253
no_cancer_conditioning,3,cancer_stratified_c_index,0.6708661417322834,0.6618547681539807,0.009011373578302728
no_cancer_conditioning,4,cancer_stratified_c_index,0.6470399720312318,0.6508856776599464,-0.0038457056287146685
no_cancer_conditioning,5,cancer_stratified_c_index,0.6380244532070012,0.6305069359734475,0.00751751723355365
no_cancer_conditioning,1,ibs,0.13460116182750068,0.1332721040837704,-0.0013290577437302664
no_cancer_conditioning,2,ibs,0.1368185496019908,0.13847677803457437,0.001658228432583564
no_cancer_conditioning,3,ibs,0.13073443425611928,0.12923054227296502,-0.0015038919831542596
no_cancer_conditioning,4,ibs,0.1327019978723302,0.13299942311536178,0.0002974252430315849
no_cancer_conditioning,5,ibs,0.14002694563299148,0.14450408078675567,0.004477135153764189
no_cancer_conditioning,1,mean_time_dependent_auc,0.818744228011904,0.8187182651622817,2.5962849622307438e-05
no_cancer_conditioning,2,mean_time_dependent_auc,0.8114046339221076,0.810258014392167,0.0011466195299405513
no_cancer_conditioning,3,mean_time_dependent_auc,0.8296537344427537,0.8233057160398816,0.006348018402872135
no_cancer_conditioning,4,mean_time_dependent_auc,0.8212384445035954,0.815742561010624,0.005495883492971365
no_cancer_conditioning,5,mean_time_dependent_auc,0.8112915930477423,0.8010782034051425,0.01021338964259988
no_cancer_conditioning,1,mean_cancer_stratified_time_dependent_auc,0.658458654226092,0.6570624662963133,0.0013961879297786917
no_cancer_conditioning,2,mean_cancer_stratified_time_dependent_auc,0.6740885847332052,0.6820034641455549,-0.007914879412349696
no_cancer_conditioning,3,mean_cancer_stratified_time_dependent_auc,0.7159149201039748,0.7009965436296479,0.014918376474326922
no_cancer_conditioning,4,mean_cancer_stratified_time_dependent_auc,0.686497365910098,0.6895168294170441,-0.0030194635069460407
no_cancer_conditioning,5,mean_cancer_stratified_time_dependent_auc,0.6550722683873094,0.6568819411389576,-0.001809672751648228
no_cancer_conditioning,1,integrated_ipcw_ece,0.03172344245323376,0.037093830165759026,0.005370387712525265
