fold,artifact_dir,permutation_seed,best_epoch,training_seconds,c_index,cancer_stratified_c_index,ibs,mean_time_dependent_auc,mean_cancer_stratified_time_dependent_auc,integrated_ipcw_ece
1,outputs\tcga_pathway_token_control_v1.6.0\fold_01,160001,35,14106.69863986969,0.7872779141090394,0.6597066097122302,0.13309242138730415,0.8214785846768867,0.7028037457030849,0.028158182125365947
2,outputs\tcga_pathway_token_control_v1.6.0\fold_02,160002,54,18933.920681476593,0.7806983393218293,0.639134595864389,0.13579244843844376,0.8144005033982737,0.6663418299436449,0.03170135340815903
3,outputs\tcga_pathway_token_control_v1.6.0\fold_03,160003,28,12193.663110494614,0.7895396264136136,0.6468649752114319,0.13019130128115755,0.823894448789156,0.6851201812178239,0.03561553703155969
4,outputs\tcga_pathway_token_control_v1.6.0\fold_04,160004,23,11046.299018621445,0.7798250763806504,0.6301713087052792,0.13466050206764504,0.8090277263035556,0.6695927204111746,0.031356627118282555
5,outputs\tcga_pathway_token_control_v1.6.0\fold_05,160005,35,14021.772847414017,0.7609918360219632,0.6150747496524921,0.1518088256724574,0.7874389196557026,0.6310811766838673,0.05921195802175499
