condition,dropped_modalities,folds_present,total_patients,total_events,mean_patients_per_fold,mean_events_per_fold,min_patients_per_fold,min_events_per_fold,c_index_n,c_index_mean,c_index_sd,c_index_ci95_low,c_index_ci95_high,cancer_stratified_c_index_n,cancer_stratified_c_index_mean,cancer_stratified_c_index_sd,cancer_stratified_c_index_ci95_low,cancer_stratified_c_index_ci95_high,ibs_n,ibs_mean,ibs_sd,ibs_ci95_low,ibs_ci95_high,mean_time_dependent_auc_n,mean_time_dependent_auc_mean,mean_time_dependent_auc_sd,mean_time_dependent_auc_ci95_low,mean_time_dependent_auc_ci95_high,degradation_c_index_n,degradation_c_index_mean,degradation_c_index_sd,degradation_c_index_ci95_low,degradation_c_index_ci95_high,degradation_cancer_stratified_c_index_n,degradation_cancer_stratified_c_index_mean,degradation_cancer_stratified_c_index_sd,degradation_cancer_stratified_c_index_ci95_low,degradation_cancer_stratified_c_index_ci95_high,degradation_ibs_n,degradation_ibs_mean,degradation_ibs_sd,degradation_ibs_ci95_low,degradation_ibs_ci95_high,degradation_mean_time_dependent_auc_n,degradation_mean_time_dependent_auc_mean,degradation_mean_time_dependent_auc_sd,degradation_mean_time_dependent_auc_ci95_low,degradation_mean_time_dependent_auc_ci95_high
all_observed,none,5,9427,2703,1885.4,540.6,1867,529,5,0.7757706159033556,0.009807247643352798,0.7635933095831358,0.7879479222235755,5,0.6671893217962677,0.00974222301934269,0.6550927542106779,0.6792858893818574,5,0.1301696458030834,0.004739498349046906,0.12428478133352569,0.13605451027264112,5,0.8052393810954186,0.011437716041182516,0.7910375808654045,0.8194411813254326,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0
clinical_only,mrna+mirna+cnv,5,9427,2703,1885.4,540.6,1867,529,5,0.7678668539583222,0.006278276170973403,0.760071344466044,0.7756623634506005,5,0.6606127248018482,0.009683182264675067,0.648589465995756,0.6726359836079404,5,0.13346553165128264,0.004234246600766688,0.12820802008759397,0.1387230432149713,5,0.7979638377164178,0.005796659316530171,0.7907663345332299,0.8051613408996057,5,0.007903761945033394,0.005303687722258551,0.001318363842589626,0.014489160047477162,5,0.00657659699441957,0.00834316511163204,-0.003782810755763623,0.016936004744602762,5,0.003295885848199237,0.003011879890513958,-0.00044385697876583906,0.007035628675164314,5,0.007275543379000893,0.0068777740350046655,-0.0012643410280450346,0.01581542778604682
drop_cnv,cnv,5,9427,2703,1885.4,540.6,1867,529,5,0.7775362557198655,0.009029410673285469,0.7663247615618501,0.7887477498778809,5,0.6712660112764908,0.01221929248756094,0.6560937557111647,0.6864382668418169,5,0.12935185981886005,0.005042203075244067,0.12309113778869718,0.13561258184902292,5,0.808256455618389,0.010672499033914271,0.7950047977971132,0.8215081134396648,5,-0.0017656398165100562,0.003071276773405388,-0.005579133614566946,0.002047853981546834,5,-0.0040766894802230615,0.005468935983900987,-0.010867270399913998,0.002713891439467875,5,-0.0008177859842233626,0.001473000229214157,-0.0026467573381844735,0.0010111853697377486,5,-0.0030170745229702645,0.0038693955391783242,-0.007821563658778232,0.001787414612837703
drop_mirna,mirna,5,9427,2703,1885.4,540.6,1867,529,5,0.7753875045844711,0.010147269524555169,0.7627880053357607,0.7879870038331815,5,0.6660535796661495,0.010173656644310077,0.6534213164808232,0.6786858428514758,5,0.1302067019912069,0.004681322945299442,0.12439407182606338,0.13601933215635043,5,0.8046947337487946,0.011778262548273842,0.7900700891812112,0.819319378316378,5,0.0003831113188843993,0.0004280346209530294,-0.00014836385993777175,0.0009145864977065704,5,0.0011357421301181336,0.0005581148751076573,0.0004427509828349653,0.001828733277401302,5,3.7056188123496536e-05,0.000171552061513078,-0.00017595383047492997,0.00025006620672192307,5,0.0005446473466241164,0.000541408488580153,-0.00012760008196777324,0.001216894775216006
drop_mrna,mrna,5,9427,2703,1885.4,540.6,1867,529,5,0.7710789984825588,0.0077392550670522895,0.7614694440928839,0.7806885528722337,5,0.6631051387412389,0.012387612484230806,0.64772388629587,0.6784863911866078,5,0.13209594124148988,0.00391190873963326,0.1272386649952286,0.13695321748775116,5,0.7994547389065803,0.00744053637093922,0.7902160927674593,0.8086933850457012,5,0.00469161742079689,0.005564381401824817,-0.002217474638123577,0.011600709479717357,5,0.004084183055028889,0.011259941762795348,-0.009896881253705123,0.0180652473637629,5,0.0019262954384064613,0.00109425629272977,0.0005675967949159866,0.0032849940818969357,5,0.005784642188838429,0.006444437666485323,-0.0022171840503046724,0.01378646842798153
