ablation,description,c_index_mean,c_index_degradation_mean,c_index_degradation_ci95_low,c_index_degradation_ci95_high,cancer_stratified_c_index_mean,cancer_stratified_c_index_degradation_mean,cancer_stratified_c_index_degradation_ci95_low,cancer_stratified_c_index_degradation_ci95_high,ibs_mean,ibs_degradation_mean,ibs_degradation_ci95_low,ibs_degradation_ci95_high,mean_time_dependent_auc_mean,mean_time_dependent_auc_degradation_mean,mean_time_dependent_auc_degradation_ci95_low,mean_time_dependent_auc_degradation_ci95_high,mean_cancer_stratified_time_dependent_auc_mean,mean_cancer_stratified_time_dependent_auc_degradation_mean,mean_cancer_stratified_time_dependent_auc_degradation_ci95_low,mean_cancer_stratified_time_dependent_auc_degradation_ci95_high,integrated_ipcw_ece_mean,integrated_ipcw_ece_degradation_mean,integrated_ipcw_ece_degradation_ci95_low,integrated_ipcw_ece_degradation_ci95_high
no_cancer_conditioning,Disable cancer-specific discrete-time baseline deviations while retaining patient-level clinical and molecular representations.,0.78329653574434,0.0022879212003985793,-0.0023360142533923145,0.006911856654189473,0.6502592329896856,0.0022181291728981646,-0.0071757507748680125,0.011612009120664343,0.13569658565868545,0.0007199678204989624,-0.002341636701038546,0.0037815723420364707,0.8138205520020193,0.004645974783601248,-0.0004812632827538993,0.009773212849956395,0.6772922489255035,0.0007141097466323298,-0.009985023779646347,0.011413243272911006,0.03760551642372539,0.0014322138067344628,-0.005454124166419391,0.008318551779888316
no_pathway_bias,Disable same-pathway and Reactome graph attention biases while retaining the identical pathway-token inputs and Transformer architecture.,0.7861679965723142,-0.0005835396275756688,-0.006407302526399442,0.005240223271248105,0.6569981778644192,-0.0045208157018355125,-0.016809132288414387,0.007767500884743362,0.13414320441471178,-0.0008334134234747326,-0.003620628302587604,0.001953801455638139,0.8188712684819809,-0.000404741696360289,-0.00580331439995927,0.004993831007238692,0.6827873599310337,-0.004781001258897822,-0.02036628642575879,0.010804283907963147,0.0355626041695912,-0.0006106984473997302,-0.015344348954409993,0.014122952059610533
no_reconstruction_objective,Set lambda_reconstruction to zero while leaving the cross-modal reconstructor in the forward graph. This isolates the supervised reconstruction objective rather than removing the reconstruction module itself.,0.7785538008815612,0.007030656063177298,-0.0038068412832861567,0.017868153409640753,0.6430151226139238,0.009462239548659924,-0.013900030696748701,0.03282450979406855,0.1373185774422993,0.0023419596041128255,-0.0009565768573468183,0.005640496065572469,0.8106991056362123,0.007767421149408271,-0.004274287735229364,0.019809130034045906,0.6744128835808446,0.003593475091291198,-0.04084230319363375,0.04802925337621614,0.03689075960000967,0.0007174569830187417,-0.014759025786535925,0.016193939752573407
no_structured_masking,"Disable artificial modality dropping during training while preserving the natural missingness pattern. With no artificially hidden observed modality, reconstruction supervision is inactive. The stochastic same-mask consistency objective remains active.",0.7730078159988223,0.01257664094591635,0.0037728131906632108,0.02138046870116949,0.6258273062554089,0.02665005590717464,0.0017090592372100664,0.05159105257713921,0.1390117299068485,0.004035112068662023,-0.0001538176983883286,0.008224041835712374,0.8049042255799705,0.013562301205650185,0.003981641472206773,0.0231429609390936,0.657318399412524,0.02068795925961191,-0.025627509196938483,0.0670034277161623,0.03433736862299826,-0.0018359339939926652,-0.023461325036944043,0.019789457048958715
no_subset_consistency,Disable the full-view stop-gradient consistency branch and set lambda_consistency to zero.,0.7824070530932106,0.0031774038515280266,-0.0019725288509821913,0.008327336554038244,0.6464642339560258,0.006013128206557794,-0.005907740496916932,0.01793399691003252,0.13471619794543982,-0.0002604198927466661,-0.0022551227842576805,0.0017342829987643483,0.8152854656063528,0.003181061179267819,-0.0035067715704249283,0.009868893928960567,0.6729027443970115,0.005103614275124469,-0.014782613708988649,0.024989842259237584,0.0299478855383113,-0.006225417078679631,-0.019595184125307877,0.007144349967948613
