fold,artifact_dir,c_index,cancer_stratified_c_index,ibs,mean_time_dependent_auc,mean_cancer_stratified_time_dependent_auc,integrated_ipcw_ece
1,outputs\tcga_outer_fold1_v1.5.6_cuda,0.7850380783410034,0.6609993255395683,0.13460116182750068,0.818744228011904,0.658458654226092,0.03172344245323376
2,outputs\tcga_outer_fold2_v1.5.7_cuda,0.7777968656052099,0.6454569183028335,0.1368185496019908,0.8114046339221076,0.6740885847332052,0.03591116243722868
3,outputs\tcga_outer_fold3_v1.5.7_cuda,0.7963570860759408,0.6708661417322834,0.13073443425611928,0.8296537344427537,0.7159149201039748,0.05273268332032244
4,outputs\tcga_outer_fold4_v1.5.7_cuda,0.7891350258967305,0.6470399720312318,0.1327019978723302,0.8212384445035954,0.686497365910098,0.033677141976982405
5,outputs\tcga_outer_fold5_v1.5.7_cuda,0.7795952288048082,0.6380244532070012,0.14002694563299148,0.8112915930477423,0.6550722683873094,0.02682208289718735
