metric,primary_n,primary_mean,primary_sd,primary_ci95_low,primary_ci95_high,control_n,control_mean,control_sd,control_ci95_low,control_ci95_high,degradation_n,degradation_mean,degradation_sd,degradation_ci95_low,degradation_ci95_high
c_index,5,0.7855844569447384,0.007507863218711611,0.776262213482626,0.7949067004068509,5,0.7796665584494191,0.011238829603750517,0.7657117083484954,0.7936214085503428,5,0.005917898495319385,0.00891020398565206,-0.005145581010316465,0.016981378000955234
cancer_stratified_c_index,5,0.6524773621625837,0.013214665097614643,0.6360691882625558,0.6688855360626116,5,0.6381904478291645,0.016865098261495973,0.617249662491696,0.6591312331666329,5,0.014286914333419155,0.010103959117339207,0.0017411920580963792,0.026832636608741932
ibs,5,0.13497661783818649,0.0036128073643111637,0.13049072500147588,0.1394625106748971,5,0.13710909976940155,0.008482346140757446,0.12657687594612038,0.14764132359268273,5,0.0021324819312150967,0.005557319829622119,-0.004767842027730565,0.009032805890160759
mean_time_dependent_auc,5,0.8184665267856207,0.007652846952749004,0.8089642622406289,0.8279687913306125,5,0.811248036564715,0.014545942128352068,0.7931868639039849,0.8293092092254452,5,0.0072184902209057045,0.011259884247749239,-0.0067625026734662,0.02119948311527761
mean_cancer_stratified_time_dependent_auc,5,0.6780063586721359,0.024660648981148375,0.6473861186599036,0.7086265986843682,5,0.6709879307919191,0.02658969945816155,0.6379724582516617,0.7040034033321765,5,0.0070184278802167595,0.029957733400396314,-0.03017901115084177,0.04421586691127529
integrated_ipcw_ece,5,0.03617330261699093,0.00984580101385202,0.023948125964612755,0.048398479269369105,5,0.03720873154102444,0.012581444959797208,0.021586804289062046,0.05283065879298684,5,0.001035428924033515,0.018524028347314977,-0.021965190176533464,0.024036048024600493
